work_cycle,T_stable_K,t_cool_hours,sigma_T_K
771,82.7199126482365,1.0362516467358804,2.14521888
772,82.71991389565197,1.0385972793925156,2.1476121599999995
773,82.71991512525389,1.0409484559096085,2.1500054399999997
774,82.71991633729664,1.0433051895492362,2.15239872
775,82.71991753203096,1.0456674936053052,2.154792
776,82.71991870970405,1.048035381403628,2.1571852799999998
777,82.71991987055952,1.0504088663019997,2.15957856
778,82.71992101483755,1.0527879616902742,2.16197184
779,82.71992214277486,1.0551726809904418,2.16436512
780,82.71992325460481,1.0575630376567062,2.1667584
781,82.71992435055742,1.0599590451755623,2.1691516799999997
782,82.71992543085943,1.0623607170658729,2.17154496
783,82.71992649573431,1.0647680668789472,2.1739382399999996
784,82.7199275454024,1.067181108198619,2.1763315199999997
785,82.71992858008083,1.0695998546413235,2.1787248
786,82.71992959998369,1.0720243198561765,2.1811180799999996
787,82.71993060532193,1.0744545175250537,2.18351136
788,82.7199315963036,1.0768904613626678,2.18590464
789,82.71993257313366,1.079332165116648,2.18829792
790,82.71993353601424,1.0817796425676203,2.1906912
791,82.71993448514452,1.084232907529284,2.19308448
792,82.71993542072087,1.0866919738484941,2.1954777599999997
793,82.71993634293685,1.0891568554053392,2.19787104
794,82.71993725198324,1.0916275661132215,2.2002643199999996
795,82.71993814804812,1.0941041199189379,2.2026575999999998
796,82.71993903131684,1.0965865308027585,2.20505088
797,82.71993990197218,1.0990748127785082,2.2074441599999997
798,82.71994076019423,1.1015689798936474,2.20983744
799,82.71994160616055,1.104069046229352,2.21223072
800,82.71994244004617,1.1065750259005958,2.2146239999999997
