work_cycle,T_stable_K,t_cool_hours,sigma_T_K
0,77.0,0.2,0.3
1,77.08168371429421,0.20039244258799235,0.30239328
2,77.16220095495541,0.2007857717456028,0.30478656
3,77.24156837965822,0.20117998956703112,0.30717984000000004
4,77.31980240819955,0.2015750981514859,0.30957312
5,77.39691922589552,0.20197109960319692,0.3119664
6,77.47293478692995,0.2023679960314269,0.31435968
7,77.54786481765504,0.2027657895504838,0.31675296
8,77.62172481984486,0.20316448227973272,0.31914623999999997
9,77.69453007390238,0.20356407634360815,0.32153952
10,77.76629564202084,0.2039645738716263,0.3239328
11,77.83703637129972,0.2043659769983969,0.32632608
12,77.90676689681646,0.20476828786363577,0.32871935999999996
13,77.9755016446542,0.20517150861217698,0.33111263999999996
14,78.04325483488627,0.20557564139398501,0.33350591999999996
15,78.1100404845181,0.2059806883641673,0.3358992
16,78.17587241038707,0.2063866516829863,0.33829248
17,78.24076423202105,0.20679353351587215,0.34068576
18,78.30472937445602,0.2072013360334348,0.34307904
19,78.36778107101347,0.20761006141147653,0.34547231999999994
20,78.42993236603816,0.20801971183100476,0.34786559999999994
21,78.49119611759679,0.20843028947824388,0.35025888
22,78.55158500013813,0.20884179654464835,0.35265216
23,78.61111150711513,0.20925423522691483,0.35504544
24,78.66978795356961,0.20966760772699516,0.35743872
25,78.72762647868002,0.2100819162521087,0.359832
26,78.78463904827291,0.21049716301475496,0.3622252799999999
27,78.84083745729835,0.21091335023272653,0.36461856
28,78.89623333227017,0.21133048012912142,0.36701184
29,78.95083813367133,0.21174855493235614,0.36940512
