Model: gan_vae | Dataset: degradation | Device: cuda
Output: /home/ze.qian/workspace/aug_diagnosis/outputs/data_aug/degradation/gan_vae/gan_vae_degradation_5feat_netd_v6_20260528_144417

=== Training ===

--- VAE-GAN class: normal (29 windows) ---
Epoch [110/250] | D_loss: 0.104690 | G_loss: 5.657805 | Recon: 0.290598 | MeanMatch: 0.229225 | RandMeanMatch: 1.954064 | KL: 1620.632019
Epoch [120/250] | D_loss: 0.102357 | G_loss: 5.381170 | Recon: 0.192567 | MeanMatch: 0.104998 | RandMeanMatch: 2.042195 | KL: 1112.385376
Epoch [130/250] | D_loss: 0.044183 | G_loss: 5.317307 | Recon: 0.128651 | MeanMatch: 0.079209 | RandMeanMatch: 1.844120 | KL: 516.168610
Epoch [140/250] | D_loss: 0.033626 | G_loss: 5.656106 | Recon: 0.107370 | MeanMatch: 0.113010 | RandMeanMatch: 1.791677 | KL: 401.719116
Epoch [150/250] | D_loss: 0.045461 | G_loss: 5.481572 | Recon: 0.084325 | MeanMatch: 0.120134 | RandMeanMatch: 1.843439 | KL: 367.196289
Epoch [160/250] | D_loss: 0.111839 | G_loss: 4.542342 | Recon: 0.083627 | MeanMatch: 0.207692 | RandMeanMatch: 1.623449 | KL: 430.896072
Epoch [170/250] | D_loss: 0.269490 | G_loss: 4.082880 | Recon: 0.099269 | MeanMatch: 0.311925 | RandMeanMatch: 1.710737 | KL: 642.039368
Epoch [180/250] | D_loss: 0.271599 | G_loss: 3.781034 | Recon: 0.099025 | MeanMatch: 0.263799 | RandMeanMatch: 1.596083 | KL: 700.285095
Epoch [190/250] | D_loss: 0.207480 | G_loss: 4.336677 | Recon: 0.075704 | MeanMatch: 0.095331 | RandMeanMatch: 1.600806 | KL: 533.894623
Epoch [200/250] | D_loss: 0.373000 | G_loss: 3.815159 | Recon: 0.056457 | MeanMatch: 0.083457 | RandMeanMatch: 1.643776 | KL: 346.970123
Epoch [210/250] | D_loss: 0.723703 | G_loss: 2.691827 | Recon: 0.057264 | MeanMatch: 0.098752 | RandMeanMatch: 1.607999 | KL: 386.880905
Epoch [220/250] | D_loss: 0.472507 | G_loss: 3.194957 | Recon: 0.055728 | MeanMatch: 0.079977 | RandMeanMatch: 1.527768 | KL: 347.285202
Epoch [230/250] | D_loss: 0.300355 | G_loss: 3.119705 | Recon: 0.046672 | MeanMatch: 0.069487 | RandMeanMatch: 1.542950 | KL: 338.164841
Epoch [240/250] | D_loss: 0.486109 | G_loss: 2.759391 | Recon: 0.047833 | MeanMatch: 0.090290 | RandMeanMatch: 1.547463 | KL: 391.179993
Epoch [250/250] | D_loss: 0.813153 | G_loss: 2.545645 | Recon: 0.064510 | MeanMatch: 0.121072 | RandMeanMatch: 1.486610 | KL: 455.516342

--- VAE-GAN class: mtf_degradation (31 windows) ---
Epoch [ 10/250] | D_loss: 0.664941 | G_loss: 2.682399 | Recon: 0.199052 | MeanMatch: 0.898358 | RandMeanMatch: 0.906707 | KL: 8.162974
Epoch [ 20/250] | D_loss: 0.630990 | G_loss: 3.036482 | Recon: 0.224114 | MeanMatch: 1.030777 | RandMeanMatch: 1.042824 | KL: 9.185833
Epoch [ 30/250] | D_loss: 0.566019 | G_loss: 3.293135 | Recon: 0.230896 | MeanMatch: 1.104865 | RandMeanMatch: 1.130159 | KL: 12.890680
Epoch [ 40/250] | D_loss: 0.476704 | G_loss: 3.044581 | Recon: 0.202894 | MeanMatch: 0.908960 | RandMeanMatch: 0.965558 | KL: 18.448603
Epoch [ 50/250] | D_loss: 0.403144 | G_loss: 3.854258 | Recon: 0.239302 | MeanMatch: 1.144232 | RandMeanMatch: 1.277272 | KL: 34.349380
Epoch [ 60/250] | D_loss: 0.273990 | G_loss: 4.276231 | Recon: 0.248769 | MeanMatch: 1.150908 | RandMeanMatch: 1.375646 | KL: 67.918823
Epoch [ 70/250] | D_loss: 0.257360 | G_loss: 3.468628 | Recon: 0.157648 | MeanMatch: 0.590497 | RandMeanMatch: 0.943685 | KL: 127.714546
Epoch [ 80/250] | D_loss: 0.260732 | G_loss: 3.254718 | Recon: 0.118577 | MeanMatch: 0.238674 | RandMeanMatch: 0.762849 | KL: 240.398041
Epoch [ 90/250] | D_loss: 0.373550 | G_loss: 3.874048 | Recon: 0.170147 | MeanMatch: 0.255108 | RandMeanMatch: 1.156571 | KL: 414.099243
Epoch [100/250] | D_loss: 0.571609 | G_loss: 3.253833 | Recon: 0.192654 | MeanMatch: 0.071251 | RandMeanMatch: 0.844264 | KL: 576.622803
Epoch [110/250] | D_loss: 0.583067 | G_loss: 3.535782 | Recon: 0.304755 | MeanMatch: 0.235116 | RandMeanMatch: 1.173074 | KL: 750.011108
Epoch [120/250] | D_loss: 0.475695 | G_loss: 3.387606 | Recon: 0.367295 | MeanMatch: 0.282513 | RandMeanMatch: 1.030786 | KL: 819.986328
Epoch [130/250] | D_loss: 0.396984 | G_loss: 3.261958 | Recon: 0.377770 | MeanMatch: 0.092842 | RandMeanMatch: 1.152878 | KL: 859.560669
Epoch [140/250] | D_loss: 0.370585 | G_loss: 2.924193 | Recon: 0.337094 | MeanMatch: 0.143084 | RandMeanMatch: 0.708951 | KL: 782.218140
Epoch [150/250] | D_loss: 0.397503 | G_loss: 2.960157 | Recon: 0.312846 | MeanMatch: 0.128531 | RandMeanMatch: 0.963231 | KL: 711.203735
Epoch [160/250] | D_loss: 0.429702 | G_loss: 3.373167 | Recon: 0.286301 | MeanMatch: 0.252894 | RandMeanMatch: 1.238057 | KL: 620.037109
Epoch [170/250] | D_loss: 0.348765 | G_loss: 3.287312 | Recon: 0.254892 | MeanMatch: 0.238254 | RandMeanMatch: 1.173620 | KL: 527.935791
Epoch [180/250] | D_loss: 0.415056 | G_loss: 3.253393 | Recon: 0.210903 | MeanMatch: 0.294952 | RandMeanMatch: 1.139475 | KL: 428.771362
Epoch [190/250] | D_loss: 0.341963 | G_loss: 3.064816 | Recon: 0.184123 | MeanMatch: 0.274104 | RandMeanMatch: 1.066901 | KL: 374.156769
Epoch [200/250] | D_loss: 0.310953 | G_loss: 2.738284 | Recon: 0.149938 | MeanMatch: 0.191204 | RandMeanMatch: 0.843338 | KL: 330.359467
Epoch [210/250] | D_loss: 0.309880 | G_loss: 2.865007 | Recon: 0.147511 | MeanMatch: 0.263946 | RandMeanMatch: 0.929084 | KL: 289.823364
Epoch [220/250] | D_loss: 0.286783 | G_loss: 2.590657 | Recon: 0.128185 | MeanMatch: 0.199336 | RandMeanMatch: 0.773539 | KL: 289.808899
Epoch [230/250] | D_loss: 0.356509 | G_loss: 2.938307 | Recon: 0.147311 | MeanMatch: 0.302114 | RandMeanMatch: 1.025784 | KL: 316.302216
Epoch [240/250] | D_loss: 0.363427 | G_loss: 2.575846 | Recon: 0.121430 | MeanMatch: 0.212562 | RandMeanMatch: 0.764662 | KL: 312.075745
Epoch [250/250] | D_loss: 0.359049 | G_loss: 2.659948 | Recon: 0.135444 | MeanMatch: 0.231905 | RandMeanMatch: 0.950056 | KL: 331.176361

--- VAE-GAN class: nonuniformity_degradation (37 windows) ---
Epoch [ 10/250] | D_loss: 0.548688 | G_loss: 2.574486 | Recon: 0.217190 | MeanMatch: 0.733437 | RandMeanMatch: 0.762549 | KL: 11.163328
Epoch [ 20/250] | D_loss: 0.257725 | G_loss: 3.103528 | Recon: 0.189100 | MeanMatch: 0.625698 | RandMeanMatch: 0.742567 | KL: 29.190052
Epoch [ 30/250] | D_loss: 0.076850 | G_loss: 4.022638 | Recon: 0.164466 | MeanMatch: 0.394213 | RandMeanMatch: 0.733566 | KL: 92.378700
Epoch [ 40/250] | D_loss: 0.028053 | G_loss: 4.568470 | Recon: 0.132800 | MeanMatch: 0.160997 | RandMeanMatch: 0.586989 | KL: 221.685196
Epoch [ 50/250] | D_loss: 0.063112 | G_loss: 5.026375 | Recon: 0.133617 | MeanMatch: 0.107832 | RandMeanMatch: 0.598735 | KL: 484.792755
Epoch [ 60/250] | D_loss: 0.255550 | G_loss: 5.045984 | Recon: 0.144897 | MeanMatch: 0.098545 | RandMeanMatch: 0.592282 | KL: 940.777130
Epoch [ 70/250] | D_loss: 0.472260 | G_loss: 3.501218 | Recon: 0.193290 | MeanMatch: 0.195003 | RandMeanMatch: 0.609257 | KL: 1413.586914
Epoch [ 80/250] | D_loss: 0.402457 | G_loss: 3.617350 | Recon: 0.216036 | MeanMatch: 0.263979 | RandMeanMatch: 0.724077 | KL: 1501.764343
Epoch [ 90/250] | D_loss: 0.407159 | G_loss: 2.854429 | Recon: 0.192678 | MeanMatch: 0.150579 | RandMeanMatch: 0.727728 | KL: 1434.706604
